Generic,Brand,Drug Class,Formulation,Side Effects (Common),Side Effects (Rare but Serious),Contraindications/Black Box Warnings
Benazepril,Lotensin,ACE inhibitor,tablet,"N/V/D, dizziness, dry cough, fatigue, H/A, hyperkalemia, nephrotoxic, rash, tachycardia","Angioedema, birth defects, liver failure, Stevens-Johnson syndrome","BW: Pregnancy, fetal toxicity CI: history of angioedema; anuria; concomitant use with aliskiren in patients with diabetes mellitus; concurrent sacubitril"
Benzonatate,Tessalon Perles,Antitussive,capsule,oral and pharyngeal numbness with chewing,None,None
Benztropine,Cogentin,"Antiparkinsonian, Anticholinergic",tablet,"constipation, nausea","Anhidrosis, drug-induced psychosis, heat stroke, increased body temperature, tachycardia, visual hallucination","CI: Hypersensitivity to benztropine, patients <3 y of age"
Bimatoprost,"Lumigan, Latisse","Prostaglandin, Antiglaucoma",ophthalmic solution,"ocular pruritus, conjunctival hyperemia","Macular retinal edema, bacterial keratitis",None
Bisoprolol,Zebeta,Beta adrenergic blocker,tablet,"bradyarrhythmias, cold extremities, dizziness, fatigue, hypotension",None,"CI: Hypersensitivity to bisoprolol, severe sinus bradycardia, 2nd- or 3rd-degree AV block, overt heart failure, cardiogenic shock"
Brimonidine,"Alphagan P., Lumify","Adrenergic agonist, Antiglaucoma",ophthalmic solution,"allergic conjunctivitis, conjunctival discoloration","Syncope, arrhythmias, bradycardia","CI: Hypersensitivity to brimonidine, concurrent MAOIs, use in children <2 y of age"
Budesonide,"Pulmicort Respules, Pulmicort Flexhaler",Inhaled Corticosteroid,"inhalation suspension, MDI","Upper respiratory tract infections, otitis media","Cataracts, decreased body growth, decreased bone mineral density",CI: hypersensitivity to milk proteins (Flexhaler); primary treatment of status asthmaticus or other acute episodes of asthma
Budesonide/Formoterol,Symbicort,Inhaled Corticosteroid/Bronchodilator Combo,MDI,Upper respiratory tract infections,"Asthma-related death, bronchospasm, hypokalemia, arrhythmias","CI: Hypersensitivity to budesonide or formoterol; primary treatment of status asthmaticus or acute episodes of asthma or COPD BW: Asthma deaths; pediatrics, increased risk of hospitalization"
Buprenorphine/Naloxone,"Bunavail, Suboxone, Zubsolv",Opioid Partial Agonist and Antagonist Combo C3,"sublingual tablet, buccal","vasodilation, sweating, H/A, insomnia, constipation, GI, dizziness, opioid withdrawal","Stevens-Johnson syndrome, physical dependence, tolerance, elevated liver functions tests, seizures",None
Bupropion,"Aplenzin, Forfivo, Wellbutrin, Zyban",Monocyclic Antidepressant,"tablet (IR, ER, SR)","agitation, constipation, dizziness, H/A, insomnia, nausea, tachy, tremor, xerostomia","Cardiac dysrhythmia, mania, seizure, suicidal thoughts, wide QRS complex","BW: Suicidality; neuropsychiatric reactions, CI: Seizure disorder; history of anorexia/bulimia; use of MAOI within 14 d; patients undergoing abrupt discontinuation of ethanol, benzodiazepines, barbiturates, or antiepileptics"
Buspirone,Buspar,Antianxiety,tablet,dizziness,"Mania, psychiatric disorders",None
Canagliflozin,Invokana,SGLT2 inhibitor,tablet,"hyperkalemia, renal insufficiency, GU fungal infection, UTI","Acute renal failure, pancreatitis, photosensitivity, metabolic acidosis, risk of foot amputations","CI: limb amputations, BW: severe renal impairment"
Candesartan,Atacand,Angiotensin 2 receptor antagonist,tablet,hypotension,"Angioedema, hepatotoxicity, birth defects, hepatotoxicity","CI: Hypersensitivity to candesartan or other ARB, pregnancy BW: Pregnancy"
Carbamazepine,Tegretol,Anticonvulsant,"tablet, capsule, suspension","hyponatremia, dizziness, nausea","Cardiac dysrhythmia, hepatitis, nephrotoxicity, pancreatitis, pancytopenia, Stevens-Johnson syndrome, syncope, toxic epidermal necrolysis, suicidal thoughts and behaviors",None
"Carbidopa, Levodopa","Rytary, Duopa, Sinemet",Antiparkinsonian,"tablet, capsule, ODT, suspension",dyskinesia,"Orthostatic hypotension, neuroleptic malignant syndrome, hallucinations, sleep attacks, compulsive behaviors","CI: Hypersensitivity to carbidopa or levodopa, narrow-angle glaucoma, concurrent MAOI or linezolid"
Carisoprodol,Soma,Centrally Acting Skeletal Muscle Relaxant C4,tablet,"drowsiness, dizziness","Slowed or difficult breathing when used in combination with opioids, seizure, drug dependence, withdrawal symptoms upon discontinuation after chronic use","CI: Hypersensitivity to carisoprodol or meprobamate, acute intermittent porphyria"
Carvedilol,"Coreg, Coreg CR",Alpha/Beta-adrenergic blocker,"tablet, ER capsule","cold extremities, hypotension, dizziness, ED, fatigue, weight gain","Heart failure, hepatotoxicity, Stevens-Johnson syndrome","CI: Hypersensitivity, bronchial asthma, severe sinus bradycardia, 2nd- or 3rd-degree AV block, sick sinus syndrome, overt heart failure, cardiogenic shock, severe hepatic impairment"
Cefdinir,Omnicef,"Cephalosporin, Third Generation","capsule, suspension",diarrhea,"Increased liver enzymes, hypersensitivity",None
Cefuroxime,Ceftin,"Cephalosporin, Second Generation",tablet,diarrhea,"Stevens-Johnson syndrome, hepatotoxicity, severe hypersensitivity, anemia, neutropenia, pancytopenia, seizure",None
Celecoxib,Celebrex,Cyclooxygenase 2 Inhibitor,capsule,"hypertension, H/A, GI distress, diarrhea","Stevens-Johnson syndrome, GI ulcers and bleeding, thrombosis, elevated liver functions, acute renal failure","BW: GI toxicity, cardiotoxicity, CABG, CI: Asthma, urticaria, or allergic-type reaction following aspirin or other NSAID administration; CABG surgery, treatment of perioperative pain, hypersensitivity to sulfonamides"
Cephalexin,Keflex,"Cephalosporin, First Generation","capsule, suspension, tablet",nausea,"Stevens-Johnson syndrome, renal failure, severe hypersensitivity, anemia, neutropenia, seizure",None
Cetirizine,Zyrtec,Antihistamine,"tablet, ODT, capsule, solution",drowsiness,None,None
Chlorhexidine,"Peridex, Paroex, Hibiclens",Antibacterial Cleansing Agent,"solution, oral rinse","mouth and tongue irritation, tooth aches and discolored teeth","Allergic reactions, skin irritation",None
Chlorthalidone,"Hygroton, Thalitone",Thiazide Diuretic,tablet,"dizziness, hypotension, hyperuricemia","Heart failure, pancreatitis",CI: Hypersensitivity to chlorthalidone or sulfonamides; anuria
Ciprofloxacin Oral,"Cipro, Cipro Xr",Fluoroquinolone,"tablet, suspension, injection, ophthalmic solution, ointment","Tooth discoloration in infants, musculoskeletal signs and symptoms","Stevens-Johnson syndrome, renal failure, anemia, neutropenia, thrombocytopenia, seizure, cardiac effects, liver failure, myasthenia gravis, tendon rupture, renal failure, psychosis, QTc prolongation, peripheral neuropathy, CNS effects, severe cardiac, dermatologic, and hypersensitivity reactions","BW: May exacerbate muscle weakness in patients with myasthenia gravis, tendon inflammation and rupture, peripheral neuropathy, CNS effects, cardiac, dermatologic and hypersensitivity reactions, aortic dissection and rupture, hypoglycemia, mental health adverse effects, CI: Hypersensitivity to ciprofloxacin or other quinolones, concomitant tizanidine"
Ciprofloxacin Otic,"Cetraxal,Otiprio",Fluoroquinolone,otic suspension,application site pain and itching,None,None
Citalopram,Celexa,SSRI Antidepressant,"tablet, solution","constipation, dizziness, H/A, insomnia, N, sedation, xerostomia","Constipation, dizziness, headache, insomnia, nausea, sedation, xerostomia","CI: Hypersensitivity, concomitant use of pimozide, MAOIs BW: Suicidal ideation; not approved for use in children"
Clarithromycin,Biaxin,Macrolide Antibiotic,"tablet, suspension",taste disturbance,"QTc prolongation, Stevens-Johnson syndrome, anemia, neutropenia, thrombocytopenia, severe hypersensitivity, myasthenic crisis, elevated LFTs, hallucinations, nephrotoxicity","CI: Hypersensitivity to any macrolide or ketolide antibiotic; concomitant colchicine, cisapride, pimozide, astemizole, terfenadine, ergotamine, dihydroergotamine, or HMG-CoA reductase inhibitors metabolized by CYP3A4/5, history of cholestatic jaundice/hepatic dysfunction with use of clarithromycin, colchicine in renal or hepatic impairment"
Clindamycin Oral,Cleocin,Lincosamide Antibiotic,"capsule, injection",nausea,"QTc prolongation, Stevens-Johnson syndrome, pseudomembranous colitis, esophagitis",BW: Colitis
Clindamycin Topical,Cleocin T,Lincosamide Antibiotic,"solution, gel, foam, pad, lotion",dry skin,None,None
Clobazam,"Onfi, Sympazan",Anticonvulsant,"tablet, suspension, film","constipation, drooling, ataxia, lethargy, RI, somnolence, fever","Depression, Stevens-Johnson syndrome, suicidal attempts, toxic epidermal necrolysis, DRESS syndrome",BW: Concurrent opioid use
Clobetasol,"Impoyz, Temovate",Topical Corticosteroid,"cream, ointment, solution, foam, gel, shampoo, liquid",pruritus,"Hypothalamic axis (HPA) suppression has been reported when used with occlusive dressings, over larger surface areas",none
Clonazepam,Klonopin,Benzodiazepine,"tablet, ODT","ataxia, lethargy, somnolence, weight gain","Seizures, mania, depression, withdrawal symptoms","BW: with opioids CI: narrow-angle glaucoma, liver disease"
Clonidine,Catapres,Alpha-2 adrenergic agonist,"tablet, transdermal patch","nervous, H/A, somnolence, redness, xerostomia",AV block,"BW: for epidural, BEERS"
Clopidogrel,Plavix,Platelet Aggregation Inhibitor,tablet,H/A,"Agranulocytosis, Stevens-Johnson syndrome, GI hemorrhage, GI ulcer, pancytopenia, thrombotic thrombocytopenic purpura","BW: reduced CYP2C19 function, CI: in active bleeding"
Clotrimazole/Betamethasone,Lotrisone,Anti-infective/Anti-inflammatory Combo,"cream, lotion",dry skin,"Rash, HPA suppression has been reported in children, therefore not recommended in children <12 y of age",None
Codeine,Tylenol with Codeine,Opioid Analgesic C2,"tablet, solution, elixir","N/V, constipation, somnolence","Stevens-Johnson syndrome, GI bleeding, elevated liver functions, thrombocytopenia, physical dependence, tolerance, respiratory depression, serotonin syndrome, adrenal insufficiency, decreased sex hormones","BW: Hepatotoxicity; Children who are CYP2D6 ultrarapid metabolizers; serious risks of misuse, abuse, addiction, overdose, and death; concurrent use with benzodiazepines; immediate release only, serious risk of misuse, accidental ingestion, neonatal opioid withdrawal syndrome, CI: Hypersensitivity to codeine, use in age < 12 y of age, use in age 12-18 y postoperatively after tonsillectomy"
Colchicine,"Colcrys, Gloperba, Mitigare",Antigout,"capsule, tablet, solution",N/V/D,"Agranulocytosis, rhabdomyolysis",CI: Hypersensitivity to colchicine; concurrent use with strong CYP3A4/5 inhibitors in patients with renal or hepatic failure
Colesevelam,Welchol,"Hypolipidemic, Bile Acid Sequestrant","tablet, granules",constipation,"Pancreatitis, bowel obstruction","CI: History of bowel obstruction, hypertriglyceridemia-induced pancreatitis; serum triglyceride level >500 mg/dL"
Conjugated Estrogens,Premarin,Estrogen hormone,"tablet, injection","weight change, H/A, migraine, depression, disorder of menstruation, breast pain","Heart disease, hypertension, MI, breast cancer, diabetes mellitus, hypercalcemia, venous thromboembolism, anaphylaxis, cerebrovascular accident, cervical cancer, malignant neoplasm of endometrium of corpus uteri, ovarian cancer, PE","BW: Breast cancer, cardiovascular disease, endometrial cancer, dementia risks, CI: Hypersensitivity, undiagnosed abnormal genital bleeding, history of estrogen- or progesterone-dependent neoplasia, active or history of DVT or PE, severe liver dysfunction, known or suspected pregnancy"
Cyanocobalamin,Cobolin-M,Essential B Vitamin (B12),"tablet, ER capsule","Injection site pain, arthralgia, fatigue, dizziness, headache","Anaphylaxis, worsening of heart failure, angioedema",None
Cyclobenzaprine,Flexeril,Centrally Acting Skeletal Muscle Relaxant,"tablet, ER capsule","Xerostomia, headache, dizziness, drowsiness","Cardiac dysrhythmia, cholestasis, hepatitis, jaundice, anaphylaxis, immune hypersensitivity reaction, slowed or difficult breathing when used in combination with opioids","CI: Hypersensitivity to cyclobenzaprine, concomitant MAOI use, heart failure, acute coronary phase of AMI, heart block, hyperthyroidism"
Cyclosporine Ophthalmic,"Restasis, Cequa",Calcineurin Inhibitor,"ophthalmic solution, emulsion","burning sensation in eye, eye pain",None,"CI: Hypersensitivity to cyclosporine, active ocular infection"
Dabigatran,Pradaxa,Direct Oral Anticoagulant,capsule,"Bleeding, dyspepsia, GERD, gastritis","MI, Intracranial hemorrhage, Major Bleeding","CI: Active bleeding, prosthetic heart valve, hypersensitivity BW: Use in elderly; risk of stroke at discontinuation; spinal epidural hematoma"
Dapagliflozin,Farxiga,SGLT2 Inhibitor,tablet,UTI,"Renal failure, bone Fracture, Pancreatitis, Perianal",CI: Severe renal impairments
Darbepoetin,Aranesp,Hematopoietic (Oncology/Endocrine),"injectable solution, vial & syringe","Cough, dyspnea, edema, hypertension, diarrhea, injection site thrombosis, myalgia, fatigue","Thromboembolism, MI, seizures, tumor progression","BW: Increased risk of CV, stroke, mortality, and cancer recurrence CI: Hypertension"
Darifenacin,Enablex,Urinary Antispasmodic,"tablet, ER","Constipation, xerostomia, blurred vision",Angioedema,"CI: gastric retention, glaucoma, urinary retention"
Desvenlafaxine,"Pristiq, Khedezla",Serotonin/Norepinephrine Reuptake Inhibitor,"tablet, ER","Diaphoresis, dizziness, headache, nausea, xerostomia","GI hemorrhage, serotonin syndrome, suicidal thoughts",BW: not for use in children; not for bipolar disorder CI: MAOI use
Dexamethasone,Decadron,Adrenal Corticosteroid,"tablet, solution, elixir","hypertension, GI upset","Primary adrenocortical insufficiency, Cushing syndrome, decreased body growth, increased risk of infection",CI: concurrent use of live vaccines; fungal infections
Dexlansoprazole,Dexilant,Proton Pump Inhibitor,"capsule DR, ODT",None,"Stevens-Johnson syndrome, rhabdomyolysis, acute interstitial nephritis, C. difficile diarrhea, hypomagnesemia, MI, cutaneous and systemic lupus erythematosus",None
Dexmethylphenidate,Focalin,CNS-Stimulant,"tablet, ER capsule","Weight loss, loss of appetite, headache, insomnia, restlessness","AMI, seizures, spasmodic movement, anemia, stroke, thrombocytopenia, psychosis, mania, drug dependence, priapism","CI: glaucoma, tics, or history of Tourette syndrome"
Diazepam,Valium,Benzodiazepine,"tablet, solution, Gel, Rectal Syringe, Liquid, Nasal Spray","Drowsiness, impaired motor coordination","Seizures, mania, depression, withdrawal symptoms, elevated liver function tests","CI: narrow-angle glaucoma, severe liver disease, myasthenia gravis, sleep apnea, respiratory insufficiency, use in children <6 months of age BW: Concurrent use with opioids"
Diclofenac,"Voltaren, Cambia, Zipsor, Zorvolex",NSAID,"tablet, tablet ER, capsule, powder","Headaches, GI distress, GI ulcers","Stevens-Johnson syndrome, GI bleeding, thrombosis, elevated liver functions, acute renal failure, MI, aplastic anemia, hemolytic anemia",CI: CABG
Dicyclomine,Bentyl,Antimuscarinic,"capsule, tablet, solution.","Decreased sweating, xerostomia, GI distress, blurred vision, dizziness, constipation, drowsiness","Psychosis, euphoria, anaphylaxis, drug dependence","CI: age <6 months, breastfeeding, GI obstruction, glaucoma, myasthenia gravis, obstructive uropathy, reflux esophagitis, severe ulcerative colitis, toxic megacolon, unstable cardiovascular state in acute hemorrhage"
Digoxin,Lanoxin,Digitalis glycoside,"tablet, solution",None,"Cardiac dysrhythmias, psychosis, seizures",CI: ventricular fibrillation
Diltiazem,"Cardizem, Cartia XT, Tiazac, Taztia","Calcium Channel Blocker, Phenylthiazine","tablet, capsule, ER both","Edema, headache","Heart failure, heart block, hepatotoxicity","CI: Hypotension, 2nd or 3rd-degree AV block, Sick sinus syndrome"
Diphenoxylate/Atropine,Lomotil,Antidiarrheal,"tablet, solution","Abdominal discomfort, nausea and vomiting","Pancreatitis, toxic megacolon, anaphylaxis",CI: obstructive jaundice
Dipyridamole,Persantine,Platelet Aggregation Inhibitor,tablet,Dizziness,"Ventricular Arrhythmia, Bronchospasm",None
Divalproex,Depakote,Anticonvulsant,"tablet, tablet ER, capsule ER, solution","Abdominal pain, alopecia, asthenia, diarrhea, diplopia, dizziness, headache, nausea, somnolence, tremor, vomiting,","Hepatitis, palpitation, pancreatitis, tachycardia, thrombocytopenia, suicidal ideation or behavior","BW: Hepatotoxicity, patients with mitochondrial disease, teratogenicity, pancreatitis CI: hepatic disease, urea cycle disorders"
Donepezil,Aricept,Central Cholinesterase Inhibitor,"tablet, ODT","Asthenia,","Atrioventricular block, GI bleeding, torsades de pointes",CI: Hypersensitivity to piperidine derivatives
Doxazosin,"Cardura, Cardura XL",Alpha-1 Adrenergic Blocker,"tablet, tablet ER","Dizziness, fatigue, malaise","Hepatotoxicity, priapism",None
Doxepin,"Sinequan, Silenor",Tricyclic Antidepressant,"capsule, tablet, solution",Xerostomia,"Cardiac dysrhythmia, hepatotoxicity, suicidal thoughts","CI: MAOI use, glaucoma, severe urinary retention, BW: Suicidality"
Doxycycline,Vibramycin,Tetracycline Antibiotic,"suspension, tablet, capsule, capsule DR, oral DR, syrup","Esophageal injury, photosensitivity, skin hyperpigmentation, tooth discoloration in children <8 y of age,","Esophageal ulceration, hypersensitivity, hepatotoxicity, renal toxicity, C. difficile colitis, increased intracranial pressure, decreased growth in children",CI: Hypersensitivity to concurrent retinoic acid derivatives
Dulaglutide,Trulicity,GLP-1 Receptor Agonist,"injectable solution, syringe","Nausea, diarrhea, weight loss","Acute renal failure, angioedema, pancreatitis","BW: Risk of thyroid cancers CI: Family history of medullary thyroid carcinoma, MEN2"
Duloxetine,Cymbalta,Serotonin/Norepinephrine Reuptake Inhibitor,"capsule, tablet, solution",Xerostomia,"Cardiac dysrhythmia, hepatotoxicity, suicidal thoughts","CI: glaucoma, severe urinary retention"
Dutasteride,Avodart,5-Alpha- Reductase Inhibitor,"capsule, DR capsule","Headache, nausea","Hepatotoxicity, serotonin syndrome, suicidal thoughts","CI: Hypersensitivity to duloxetine, MAOI, TCA, linezolid use, uncontrolled glaucoma BW: Suicidality; not approved for children, pregnancy"
Edoxaban,Savaysa,Factor Xa Inhibitor,tablet,"Bleeding, elevated LFTs","Interstitial lung disease, stroke",BW: increased risk of spinal hematoma with spinal puncture or neuraxial anesthesia; reduced efficacy in nonvalvular atrial fibrillation patients with CrCl >95 mL/min
Efavirenz,Sustiva,"Antiretroviral Agent, Reverse Transcriptase Inhibitor","tablet, capsule","Anxiety, dizziness, insomnia, headaches, rash, nausea, vomiting, diarrhea, hyperlipidemia","Psychosis, seizures, hepatic failure, hypersensitivity, pancreatitis, suicidal ideation, fat redistribution, immune reconstitution syndrome","CI: concurrent use of bepridil, cisapride, elbasvir, grazoprevir, midazolam, pimozide, triazolam, St. John’s wort, or ergot alkaloids"
Eletriptan,Relpax,"Antimigraine, Serotonin Receptor Agonist",tablet,"weakness, nausea, asthenia, somnolence","Angina, cardiac dysrhythmia, coronary arteriosclerosis, heart block, hypertension, AMI, aphasia, cerebral ischemia, stroke, dystonia, hemiplegia, neuropathy, transient ischemic attack, oculogyric crisis","CI: cerebrovascular syndromes, hemiplegic or basilar migraine, ischemic bowel disease, ischemic heart disease, peripheral vascular disease, severe hepatic impairment, uncontrolled hypertension"
Emtricitabine/Tenofovir Disoproxil,Truvada,"Antiretroviral Agent, Reverse Transcriptase Inhibitor",tablet,"Hyperpigmentation, rash, hypophosphatemia, nausea, diarrhea, abdominal pain, weakness, cough, rhinitis, dizziness, headache, insomnia, fatigue, decreased bone mineral density","Lactic acidosis, HBV exacerbations, renal failure","BW: Hepatitis B exacerbation, lactic acidosis, drug resistance with preexposure prophylaxis"
Enalapril,Vasotec,ACE inhibitor,"tablet, solution","Increased SCr, Diarrhea, dizziness, dry cough, fatigue, headache, hypotension, hyperkalemia, nausea, nephrotoxicity, rash, tachycardia","Angioedema, birth defects, liver failure","BW: Pregnancy, CI: concurrent sacubitril"
Enoxaparin,Lovenox,"Anticoagulant, Low Molecular Weight Heparin","syringe, vial","anemia, hemorrhage, diarrhea, nausea, thrombocytopenia, increased LFTs, fever,","AFib, HF, eczematous drug eruption, intracranial hemorrhage","BW: Neuraxial anesthesia may cause hematomas, CI: hypersensitivity to pork products, concurrent neuraxial analgesia"
Entecavir,Baraclude,"Antiretroviral Agent, Reverse Transcriptase Inhibitor","tablet, solution","edema, elevated LFTs, nausea, vomiting, diarrhea, headaches, hematuria, hyperglycemia, hepatic encephalopathy","renal failure, hepatomegaly, thrombocytopenia",BW: HIV resistance in chronic hepatitis B patients with unrecognized or untreated HIV infection; discontinuation of therapy may result in disease exacerbation; lactic acidosis
Epinephrine Auto-Injector,"Adrenaclick, Auvi-Q, EpiPen, EpiPen Jr.",Anaphylaxis Agent,solution for autoinjector,"asthenia, dizziness","Angina, autonomic hyperreflexia, cardiac dysrhythmia, pulmonary edema, ventricular fibrillation",None
Epoetin,"Epogen, Procrit, Retacrit",Erythropoietic Stimulating Agent (Oncology),injection,"asthenia, dizziness","Pure red cell aplasia, immune hypersensitivity, seizures, tumor progression","CI: uncontrolled hypertension, BW: CV, stroke, DVT, cancer recurrence"
Escitalopram,Lexapro,SSRI Antidepressant,"tablet, solution","headache, nausea, sedation","Prolonged QTc interval, serotonin syndrome, suicidal thoughts, torsades de pointes",CI: concurrent MAOI use
Esomeprazole,Nexium,Proton Pump Inhibitor,"capsule DR, tablet DR, granules",headache,"Toxic epidermal necrolysis, pancreatitis, hepatotoxicity, bone fracture, rhabdomyolysis, acute interstitial nephritis",None
Estradiol Oral,Estrace,Estrogen,tablet,"Weight change, nausea, vomiting, disturbance in mood, swelling of breast, depression","Heart disease, MI, DM, venous thromboembolism, anaphylaxis, cerebrovascular accident, PE, breast, endometrial or ovarian cancer","BW: Endometrial and breast cancer risk, dementia risk; should not be used to reduce CV risk; secondary exposure risk (transdermal solution), CI: Hypersensitivity to estradiol; history of thromboembolic disorders, breast cancer, any estrogen-dependent neoplasm, known or suspected pregnancy"
Estradiol Transdermal Patch,"Alora, Climara, Minivelle, Menostar, Vivelle-DOT",Estrogen,patch (once or twice weekly),"Edema, application site irritation","Heart disease, MI, DM, venous thromboembolism, anaphylaxis, cerebrovascular accident, PE, breast, endometrial or ovarian cancer","BW: Endometrial and breast cancer risk, dementia risk; should not be used to reduce CV risk; secondary exposure risk (transdermal solution), CI: Hypersensitivity to estradiol; history of thromboembolic disorders, breast cancer, any estrogen-dependent neoplasm, known or suspected pregnancy"
